id;type;order_index;user_id;created_by;portfolio_id
nextval('favorite_id_seq');RSS;2;1;test@helsinki.fi;null
nextval('favorite_id_seq');TWITTER;2;1;system;1
nextval('favorite_id_seq');RSS;0;1;test@helsinki.fi;null
nextval('favorite_id_seq');LINK;0;1;test@helsinki.fi;1
nextval('favorite_id_seq');LINK;1;1;test@helsinki.fi;1
nextval('favorite_id_seq');LINK;1;3;test@helsinki.fi;2
nextval('favorite_id_seq');UNICAFE;3;1;test@helsinki.fi;null
nextval('favorite_id_seq');LINK;2;3;test@helsinki.fi;2
nextval('favorite_id_seq');LINK;0;3;test@helsinki.fi;null
nextval('favorite_id_seq');LINK;1;3;test@helsinki.fi;null
